Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Internet of Things,EWS,50892,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,66693,D,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS,9565,OD,2
Computer Science and Engineering with specialization in Internet of Things,EWS,11197,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,11409,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS,50892,D,3
Computer Science and Engineering with specialization in Internet of Things,EWS,54242,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,63634,D,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS,11197,OD,3
Computer Science and Engineering with specialization in Internet of Things,EWS,11360,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,11646,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS,55268,D,4
Computer Science and Engineering with specialization in Internet of Things,EWS,61940,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,72833,D,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS,14874,OD,4
Computer Science and Engineering with specialization in Internet of Things,EWS,15315,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,16076,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS,55268,D,U1
Computer Science and Engineering with specialization in Internet of Things,EWS,62510,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,88927,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS,-,OD,U1
Computer Science and Engineering with specialization in Internet of Things,EWS,-,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS,55268,D,S
Computer Science and Engineering with specialization in Internet of Things,EWS,62510,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,88927,D,S
Computer Science and Engineering with specialization in Big Data Analytics,EWS,53408,OD,S
Computer Science and Engineering with specialization in Internet of Things,EWS,40791,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,100493,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,1
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,284258,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,186002,D,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,35827 (Priority VI),OD,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,2
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,284258,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,186002,D,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,2
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,39029 (Priority VI),OD,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,3
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,284258,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,186002,D,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,3
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,56116 (Priority VI),OD,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,4
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,186002,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,711745,D,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,4
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,56116 (Priority VI),OD,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,U1
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,186002,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,711745,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,U1
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,D,S
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,186002,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,711745,D,S
Computer Science and Engineering with specialization in Big Data Analytics,EWS-DEF,-,OD,S
Computer Science and Engineering with specialization in Internet of Things,EWS-DEF,-,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-DEF,-,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,46635,D,1
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,99981,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,121528,D,1
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,13118,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,82985,D,2
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,99981,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,121528,D,2
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,-,OD,2
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,-,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,16205,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,82985,D,3
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,99981,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,131721,D,3
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,-,OD,3
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,-,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,25132,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,99981,D,4
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,117200,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,134040,D,4
Computer Science and Engineering with specialization in Big Data Analytics,EWSGirlCandidate,-,OD,4
Computer Science and Engineering with specialization in Internet of Things,EWSGirlCandidate,-,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWSGirlCandidate,34145,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,1
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,2
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,2
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,3
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,3
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,4
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,4
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,U1
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,U1
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,D,S
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,D,S
Computer Science and Engineering with specialization in Big Data Analytics,EWS-PWD,-,OD,S
Computer Science and Engineering with specialization in Internet of Things,EWS-PWD,-,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS-PWD,-,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,OBC,79191,D,1
Computer Science and Engineering with specialization in Internet of Things,OBC,94782,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,116595,D,1
Computer Science and Engineering with specialization in Big Data Analytics,OBC,9060,OD,1
Computer Science and Engineering with specialization in Internet of Things,OBC,12073,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,13764,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,OBC,95828,D,2
Computer Science and Engineering with specialization in Internet of Things,OBC,109179,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,132699,D,2
Computer Science and Engineering with specialization in Big Data Analytics,OBC,15255,OD,2
Computer Science and Engineering with specialization in Internet of Things,OBC,16167,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,16754,OD,2
