Branch,Category,Jee_Rank,Region,Round
Geoinformatics,OBC,237544,D,2
Mechanical Engineering with specialization in Electric Vehicles,OBC,200134,D,2
Architecture,OBC,22492,D,2
Civil Engineering,OBC,27552,OD,2
Geoinformatics,OBC,31183,OD,2
Mechanical Engineering with specialization in Electric Vehicles,OBC,26716,OD,2
Architecture,OBC,1489,OD,2
Civil Engineering,OBC,238900,D,3
Geoinformatics,OBC,251098,D,3
Mechanical Engineering with specialization in Electric Vehicles,OBC,209905,D,3
Architecture,OBC,27273,D,3
Civil Engineering,OBC,28227,OD,3
Geoinformatics,OBC,34181,OD,3
Mechanical Engineering with specialization in Electric Vehicles,OBC,27711,OD,3
Architecture,OBC,1745,OD,3
Civil Engineering,OBC,248027,D,4
Geoinformatics,OBC,268242,D,4
Mechanical Engineering with specialization in Electric Vehicles,OBC,232473,D,4
Architecture,OBC,42101,D,4
Civil Engineering,OBC,33094,OD,4
Geoinformatics,OBC,37336,OD,4
Mechanical Engineering with specialization in Electric Vehicles,OBC,28083,OD,4
Architecture,OBC,2717,OD,4
Civil Engineering,OBC,277971,D,5
Geoinformatics,OBC,290569,D,5
Mechanical Engineering with specialization in Electric Vehicles,OBC,255148,D,5
Architecture,OBC,52744,D,5
Civil Engineering,OBC,36235,OD,5
Geoinformatics,OBC,40163,OD,5
Mechanical Engineering with specialization in Electric Vehicles,OBC,29982,OD,5
Architecture,OBC,3598,OD,5
Civil Engineering,OBC,290572,D,U1
Mechanical Engineering with specialization in Electric Vehicles,OBC,287575,D,U1
Civil Engineering,OBC,359011,D,S
Geoinformatics,OBC,410179,D,S
Mechanical Engineering with specialization in Electric Vehicles,OBC,287575,D,S
Civil Engineering,OBC,85107,OD,S
Geoinformatics,OBC,85120,OD,S
Mechanical Engineering with specialization in Electric Vehicles,OBC,62487,OD,S
Civil Engineering,OBC,359011,D,s2
Geoinformatics,OBC,410179,D,s2
Mechanical Engineering with specialization in Electric Vehicles,OBC,287575,D,s2
Civil Engineering,OBC,85107,OD,s2
Geoinformatics,OBC,85120,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,OBC,62487,OD,s2
Civil Engineering,SpotRound-1,359011,D,s2
Geoinformatics,SpotRound-1,410179,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,287575,D,s2
Civil Engineering,SpotRound-1,85107,OD,s2
Geoinformatics,SpotRound-1,85120,OD,s2
