Branch,Category,Jee_Rank,Region,Round
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,27013,D,3
Information Technology,GEN-SGC,17660,D,3
Information Technology with specialization in Network and Information Security,GEN-SGC,18677,D,3
Instrumentation and Control Engineering,GEN-SGC,66857,D,3
Mathematics and Computing,GEN-SGC,21943,D,3
Mechanical Engineering,GEN-SGC,83825,D,3
Bio-Technology,GEN-SGC,24635,OD,3
Computer Science and Engineering,GEN-SGC,5684,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,3546,OD,3
Electrical Engineering,GEN-SGC,18832,OD,3
Electronics and Communication Engineering,GEN-SGC,10349,OD,3
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,9657,OD,3
Information Technology,GEN-SGC,6371,OD,3
Information Technology with specialization in Network and Information Security,GEN-SGC,8476,OD,3
Instrumentation and Control Engineering,GEN-SGC,20947,OD,3
Mathematics and Computing,GEN-SGC,6171,OD,3
Mechanical Engineering,GEN-SGC,20991,OD,3
Bio-Technology,GEN-SGC,117910,D,4
Computer Science and Engineering,GEN-SGC,13833,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,9871,D,4
Computer Science and Engineering with specialization in Data Science,GEN-SGC,18116,D,4
Electrical Engineering,GEN-SGC,59529,D,4
Electronics and Communication Engineering,GEN-SGC,36322,D,4
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,28182,D,4
Information Technology,GEN-SGC,21190,D,4
Information Technology with specialization in Network and Information Security,GEN-SGC,22383,D,4
Instrumentation and Control Engineering,GEN-SGC,92473,D,4
Mathematics and Computing,GEN-SGC,27786,D,4
Mechanical Engineering,GEN-SGC,107554,D,4
Bio-Technology,GEN-SGC,29580,OD,4
Computer Science and Engineering,GEN-SGC,7765,OD,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,5684,OD,4
Electrical Engineering,GEN-SGC,21079,OD,4
Electronics and Communication Engineering,GEN-SGC,16026,OD,4
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,16947,OD,4
Information Technology,GEN-SGC,9943,OD,4
Information Technology with specialization in Network and Information Security,GEN-SGC,10342,OD,4
Instrumentation and Control Engineering,GEN-SGC,23121,OD,4
Mathematics and Computing,GEN-SGC,10349,OD,4
Mechanical Engineering,GEN-SGC,26484,OD,4
Bio-Technology,GEN-PWD,354144,D,1
Computer Science and Engineering,GEN-PWD,119220,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,219446,D,1
Computer Science and Engineering with specialization in Data Science,GEN-PWD,314068,D,1
Electronics and Communication Engineering,GEN-PWD,583367,D,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN-PWD,844681,D,1
Information Technology,GEN-PWD,358362,D,1
Information Technology with specialization in Network and Information Security,GEN-PWD,439735,D,1
Mathematics and Computing,GEN-PWD,520609,D,1
Computer Science and Engineering,GEN-PWD,49846,OD,1
Electronics and Communication Engineering,GEN-PWD,111266,OD,1
Information Technology,GEN-PWD,87784,OD,1
Instrumentation and Control Engineering,GEN-PWD,217655,OD,1
Mechanical Engineering,GEN-PWD,242666,OD,1
Bio-Technology,GEN-PWD,570221,D,2
Computer Science and Engineering,GEN-PWD,290222,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,354144,D,2
Computer Science and Engineering with specialization in Data Science,GEN-PWD,395478,D,2
Information Technology,GEN-PWD,534357,D,2
Information Technology with specialization in Network and Information Security,GEN-PWD,583367,D,2
Computer Science and Engineering,GEN-PWD,67806,OD,2
Electronics and Communication Engineering,GEN-PWD,123978,OD,2
Information Technology,GEN-PWD,125758,OD,2
Instrumentation and Control Engineering,GEN-PWD,334844,OD,2
Mechanical Engineering,GEN-PWD,310455,OD,2
Computer Science and Engineering,GEN-PWD,290222,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,354144,D,3
Computer Science and Engineering with specialization in Data Science,GEN-PWD,395478,D,3
Information Technology,GEN-PWD,527585,D,3
Information Technology with specialization in Network and Information Security,GEN-PWD,583367,D,3
Computer Science and Engineering,GEN-PWD,67806,OD,3
Electronics and Communication Engineering,GEN-PWD,123978,OD,3
Information Technology,GEN-PWD,60010,OD,3
Instrumentation and Control Engineering,GEN-PWD,335040,OD,3
Mechanical Engineering,GEN-PWD,479902,OD,3
Computer Science and Engineering,GEN-PWD,290222,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,395478,D,4
Computer Science and Engineering with specialization in Data Science,GEN-PWD,526676,D,4
Information Technology,GEN-PWD,527585,D,4
Information Technology with specialization in Network and Information Security,GEN-PWD,583367,D,4
Computer Science and Engineering,GEN-PWD,67806,OD,4
Electronics and Communication Engineering,GEN-PWD,123978,OD,4
Information Technology,GEN-PWD,145015,OD,4
Instrumentation and Control Engineering,GEN-PWD,475274,OD,4
Mechanical Engineering,GEN-PWD,523203,OD,4
Computer Science and Engineering,GEN-PWD,290222,D,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,395478,D,U1
Computer Science and Engineering with specialization in Data Science,GEN-PWD,526676,D,U1
Information Technology,GEN-PWD,527585,D,U1
Information Technology with specialization in Network and Information Security,GEN-PWD,583367,D,U1
Computer Science and Engineering,GEN-PWD,67806,OD,U1
Electronics and Communication Engineering,GEN-PWD,123978,OD,U1
Information Technology,GEN-PWD,267377,OD,U1
Computer Science and Engineering,GEN-PWD,290222,D,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-PWD,395478,D,S
Computer Science and Engineering with specialization in Data Science,GEN-PWD,526676,D,S
Information Technology,GEN-PWD,527585,D,S
Information Technology with specialization in Network and Information Security,GEN-PWD,583367,D,S
Computer Science and Engineering,GEN-PWD,67806,OD,S
Electronics and Communication Engineering,GEN-PWD,123978,OD,S
Information Technology,GEN-PWD,267377,OD,S
Bio-Technology,EWS,97743,D,1
Computer Science and Engineering,EWS,15406,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,7870,D,1
Computer Science and Engineering with specialization in Data Science,EWS,18492,D,1
Electrical Engineering,EWS,54247,D,1
Electronics and Communication Engineering,EWS,38735,D,1
Electronics and Communication Engineering with specialization in Internet of Things,EWS,35117,D,1
Information Technology,EWS,22924,D,1
Information Technology with specialization in Network and Information Security,EWS,27933,D,1
Instrumentation and Control Engineering,EWS,60314,D,1
Mathematics and Computing,EWS,30869,D,1
Mechanical Engineering,EWS,75596,D,1
Bio-Technology,EWS,16617,OD,1
Computer Science and Engineering,EWS,1857,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,2100,OD,1
Computer Science and Engineering with specialization in Data Science,EWS,5032,OD,1
Electrical Engineering,EWS,11808,OD,1
Electronics and Communication Engineering,EWS,8706,OD,1
Electronics and Communication Engineering with specialization in Internet of Things,EWS,7231,OD,1
Information Technology,EWS,5953,OD,1
Information Technology with specialization in Network and Information Security,EWS,6392,OD,1
Instrumentation and Control Engineering,EWS,12013,OD,1
Mathematics and Computing,EWS,6682,OD,1
Mechanical Engineering,EWS,12204,OD,1
Bio-Technology,EWS,112498,D,2
Computer Science and Engineering,EWS,18843,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,11598,D,2
Computer Science and Engineering with specialization in Data Science,EWS,22924,D,2
Electrical Engineering,EWS,64859,D,2
Electronics and Communication Engineering,EWS,45649,D,2
Electronics and Communication Engineering with specialization in Internet of Things,EWS,40989,D,2
Information Technology,EWS,27701,D,2
Information Technology with specialization in Network and Information Security,EWS,30257,D,2
Instrumentation and Control Engineering,EWS,70936,D,2
Mathematics and Computing,EWS,35352,D,2
Mechanical Engineering,EWS,84242,D,2
Bio-Technology,EWS,20335,OD,2
Computer Science and Engineering,EWS,6682,OD,2
